canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value,fuente
CCCCC(O)c1[nH]c2cc(C)c(C(=O)O)cc2c1CCc1ccccc1,CHEMBL403296,IC50,nM,160000.0,IC50,uM,160.0,ChEMBL
CCCCC(O)c1[nH]c2cc(C)c(C(=O)O)cc2c1CCc1ccccc1,CHEMBL403296,IC50,nM,160000.0,IC50,uM,160.0,ChEMBL
Cc1cc2c(CO)c(CCCCC(=O)O)n(CCc3ccccc3)c2cc1C(=O)O,CHEMBL403297,IC50,nM,170000.0,IC50,uM,170.0,ChEMBL
CCCCCc1c(CO)c2cc(C)c(C(=O)O)cc2n1CCc1ccccc1,CHEMBL250740,IC50,nM,380000.0,IC50,uM,380.0,ChEMBL
Cc1cc2[nH]c(C(=O)NCCC(=O)O)c(CCc3ccccc3)c2cc1C(=O)O,CHEMBL252273,IC50,nM,490000.0,IC50,uM,490.0,ChEMBL
Cc1cc2[nH]c(C(O)CCCC(=O)O)c(CCc3ccccc3)c2cc1C(=O)O,CHEMBL252077,IC50,nM,330000.0,IC50,uM,330.0,ChEMBL
O=C(O)c1cc(/C=C2\SC(=S)N(c3ccccc3C(F)(F)F)C2=O)ccc1O,CHEMBL513072,IC50,nM,14000.0,IC50,uM,14.0,ChEMBL
O=C(O)c1ccc(/C=C2\SC(=S)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C2=O)cc1,CHEMBL472354,IC50,nM,14000.0,IC50,uM,14.0,ChEMBL
O=C(O)c1ccc(/C=C2\SC(=S)N(c3ccc(Cl)c(C(F)(F)F)c3)C2=O)cc1,CHEMBL472355,IC50,nM,15000.0,IC50,uM,15.0,ChEMBL
O=C(O)c1ccccc1/C=C1\SC(=S)N(c2cccc(C(F)(F)F)c2)C1=O,CHEMBL511818,IC50,nM,15000.0,IC50,uM,15.0,ChEMBL
O=C(O)c1ccc(/C=C2\SC(=S)N(c3ccc(C(F)(F)F)cc3)C2=O)cc1,CHEMBL512017,IC50,nM,15000.0,IC50,uM,15.0,ChEMBL
O=C(O)c1ccccc1/C=C1\SC(=S)N(c2ccccc2C(F)(F)F)C1=O,CHEMBL512539,IC50,nM,18000.0,IC50,uM,18.0,ChEMBL
O=C(O)c1cccc(/C=C2\SC(=S)N(c3ccccc3C(F)(F)F)C2=O)c1,CHEMBL472528,IC50,nM,19000.0,IC50,uM,19.0,ChEMBL
O=C(O)c1ccccc1/C=C1\SC(=S)N(c2ccc(C(F)(F)F)cc2)C1=O,CHEMBL470100,IC50,nM,20000.0,IC50,uM,20.0,ChEMBL
O=C(O)c1ccc(/C=C2\SC(=S)N(c3cc(C(F)(F)F)ccc3Cl)C2=O)cc1,CHEMBL470101,IC50,nM,20000.0,IC50,uM,20.0,ChEMBL
O=C1/C(=C/c2ccc(O)cc2)SC(=S)N1c1cccc(C(F)(F)F)c1,CHEMBL513552,IC50,nM,24000.0,IC50,uM,24.0,ChEMBL
O=C(O)c1cc(/C=C2\SC(=S)N(c3ccc(C(F)(F)F)cc3)C2=O)ccc1O,CHEMBL488016,IC50,nM,25000.0,IC50,uM,25.0,ChEMBL
O=C1/C(=C/c2ccncc2)SC(=S)N1c1cccc(C(F)(F)F)c1,CHEMBL520739,IC50,nM,28000.0,IC50,uM,28.0,ChEMBL
O=C1/C(=C/c2ccc(O)c(O)c2O)SC(=S)N1c1cccc(C(F)(F)F)c1,CHEMBL486671,IC50,nM,28000.0,IC50,uM,28.0,ChEMBL
O=C1/C(=C/c2ccc(S(=O)(=O)[O-])cc2)SC(=S)N1c1cccc(C(F)(F)F)c1.[Na+],CHEMBL486672,IC50,nM,29000.0,IC50,uM,29.0,ChEMBL
O=C(O)COc1cccc(/C=C2\SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)c1,CHEMBL521207,IC50,nM,30000.0,IC50,uM,30.0,ChEMBL
O=C1/C(=C/c2ccc(S(=O)(=O)[O-])cc2S(=O)(=O)[O-])SC(=S)N1c1cccc(C(F)(F)F)c1.[Na+].[Na+],CHEMBL487833,IC50,nM,50000.0,IC50,uM,50.0,ChEMBL
O=C(O)c1ccc(/C=C2\SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)cc1,CHEMBL461939,IC50,nM,380.0,IC50,uM,0.38,ChEMBL
O=C(O)c1cccc(/C=C2\SC(=S)N(c3ccc(C(F)(F)F)cc3)C2=O)c1,CHEMBL472192,IC50,nM,13000.0,IC50,uM,13.0,ChEMBL
O=C(O)c1ccc(/C=C2\SC(=S)N(c3ccccc3C(F)(F)F)C2=O)cc1,CHEMBL513075,IC50,nM,12000.0,IC50,uM,12.0,ChEMBL
O=C1/C(=C/c2cc(O)c(O)c(O)c2)SC(=S)N1c1cccc(C(F)(F)F)c1,CHEMBL472191,IC50,nM,11000.0,IC50,uM,11.0,ChEMBL
Cc1c(N2C(=O)/C(=C/c3ccc(C(=O)O)cc3)SC2=S)cccc1C(F)(F)F,CHEMBL472190,IC50,nM,8200.0,IC50,uM,8.2,ChEMBL
O=C1/C(=C/c2cc[n+]([O-])cc2)SC(=S)N1c1cccc(C(F)(F)F)c1,CHEMBL513068,IC50,nM,8700.0,IC50,uM,8.7,ChEMBL
