canonical_key,canonical_smiles,pIC50,fuente
Brc1ccc2ncnc(NCc3ccccc3)c2c1,Brc1ccc2ncnc(NCc3ccccc3)c2c1,6.296,Papyrus
Brc1ccc2ncnc(NCc3cccnc3)c2c1,Brc1ccc2ncnc(NCc3cccnc3)c2c1,5.648,Papyrus
Brc1ccc2ncnc(NCc3ccco3)c2c1,Brc1ccc2ncnc(NCc3ccco3)c2c1,5.246,Papyrus
Brc1cccc(CSc2nnc(-c3ccncc3)o2)c1,Brc1cccc(CSc2nnc(-c3ccncc3)o2)c1,5.162000000000001,Papyrus
C=C(C)CN1Cc2cc(Cl)cc3[nH]c(=O)n(c23)CC1C,CC1Cn2c3c(CN1CC(C)=C)cc(Cl)cc3[nH]c2=O,5.958607314841775,BindingDB
C=C(C)COc1ccc(-c2[nH]ncc2-c2ccc(OC)cc2)c(O)c1,C=C(C)COc1ccc(-c2[nH]ncc2-c2ccc(OC)cc2)c(O)c1,5.295,Papyrus
C=C(c1ccc2[nH]c(NC(=O)OC)nc2c1)c1cccs1,C=C(c1ccc2[nH]c(NC(=O)OC)nc2c1)c1cccs1,5.297999999999999,Papyrus
C=C1C(=O)C23C(O)C1CCC2C12COC3(O)C(O)C1C(C)(C)CCC2O,C=C1C(=O)C23C(O)C1CCC2C12COC3(O)C(O)C1C(C)(C)CCC2O,5.433,Papyrus
C=C1C(=O)C23CC1CCC2C1(C)C(=O)CCC(C)(C(=O)O)C1CC3O,C=C1C(=O)C23CC1CCC2C1(C)C(=O)CCC(C)(C(=O)O)C1CC3O,6.018,Papyrus
C=C1C(=O)C23CC1CCC2C1(C)C(O)CCC(C)(C(=O)O)C1CC3O,C=C1C(=O)C23CC1CCC2C1(C)C(O)CCC(C)(C(=O)O)C1CC3O,5.697,Papyrus
C=C1C(=O)C23CC1CCC2C1(C)C(OC(C)=O)CCC(C)(C(=O)O)C1CC3O,C=C1C(=O)C23CC1CCC2C1(C)C(OC(C)=O)CCC(C)(C(=O)O)C1CC3O,6.028,Papyrus
C=C1C(=O)OC23C1CCC(C)C2CCC1(C)OC13,C=C1C(=O)OC23C1CCC(C)C2CCC1(C)OC13,5.425,Papyrus
C=C1C(=O)OC2C1CCC(C)=CCCC1(C)OC21,C=C1C(=O)OC2C1CCC(C)=CCCC1(C)OC21,5.445,Papyrus
C=C1C(=O)OC2C1CCC(C)C1(O)CCC(=O)C21C,C=C1C(=O)OC2C1CCC(C)C1(O)CCC(=O)C21C,5.625,Papyrus
C=C1C(=O)OC2CC1C(O)CC(C)=CCCC(C)=CC(O)CC2C,C=C1C(=O)OC2CC1C(O)CC(C)=CCCC(C)=CC(O)CC2C,6.27,Papyrus
C=C1C(=O)OC2CC1C(OC(C)=O)CC(C)=CCCC(C)=CCCC2(C)O,C=C1C(=O)OC2CC1C(OC(C)=O)CC(C)=CCCC(C)=CCCC2(C)O,5.699,Papyrus
C=C1C(=O)OC2CC3(C)OC3CCC(C)=CC(OC(C)=O)C12,C=C1C(=O)OC2CC3(C)OC3CCC(C)=CC(OC(C)=O)C12,5.644,Papyrus
C=C1C(C)C2C(Cc3ccccc3)NC(=O)C23OC(=O)CCC(=O)CCCC(C)CC=CC3C1O,C=C1C(C)C2C(Cc3ccccc3)NC(=O)C23OC(=O)CCC(=O)CCCC(C)CC=CC3C1O,5.903,Papyrus
C=CCC12C=CCC(=O)C1(O)OC(c1ccc(OC)c(OC)c1)C2C,C=CCC12C=CCC(=O)C1(O)OC(c1ccc(OC)c(OC)c1)C2C,5.336,Papyrus
C=CCN(CC=C)c1ncnc2[nH]ncc12,C=CCN(CC=C)c1ncnc2[nH]ncc12,5.907,Papyrus
C=CCN1c2ccccc2Sc2cnccc21,C=CCN1c2ccccc2Sc2cnccc21,5.587000000000001,Papyrus
C=CCSc1nc2ccccc2n1C(=O)C=Cc1ccc(OC)c(OC)c1,C=CCSc1nc2ccccc2n1C(=O)C=Cc1ccc(OC)c(OC)c1,5.461,Papyrus
C=CCSc1nsc(NC(=O)Nc2cccc(C(C)=O)c2)n1,C=CCSc1nsc(NC(=O)Nc2cccc(C(C)=O)c2)n1,5.8420000000000005,Papyrus
C=CCc1cc(S(=O)(=O)c2ccc(O)c(CC=C)c2)ccc1O,C=CCc1cc(S(=O)(=O)c2ccc(O)c(CC=C)c2)ccc1O,5.198,Papyrus
C=CCn1c(=O)c(-c2cccc([N+](=O)[O-])c2)nc2ccccc21,C=CCn1c(=O)c(-c2cccc([N+](=O)[O-])c2)nc2ccccc21,7.259637310505756,"BindingDB,ChEMBL,Papyrus"
C=CCn1c(Oc2ccccc2F)nc2c1c(=O)n(C)c(=O)n2C,C=CCn1c(Oc2ccccc2F)nc2c1c(=O)n(C)c(=O)n2C,5.244,Papyrus
C=CCn1cnc2c(c1=O)c1nc3ccccc3nc1n2N=Cc1cc(OC)c(OC)c(OC)c1,C=CCn1cnc2c(c1=O)c1nc3ccccc3nc1n2N=Cc1cc(OC)c(OC)c(OC)c1,5.379,Papyrus
C=CCn1cnc2c1N=CN1C2=NC(C)(C(=O)O)C(O)C1(C)O,C=CCn1cnc2c1N=CN1C2=NC(C)(C(=O)O)C(O)C1(C)O,5.401,Papyrus
C=CCn1cnc2c1N=CN1C2=N[C@](C)(C(=O)O)[C@@H](O)[C@@]1(C)O,C=CCn1cnc2c1N=CN1C2=N[C@](C)(C(=O)O)[C@@H](O)[C@@]1(C)O,5.1249387366083,ChEMBL
C=CCn1cnc2c1N=CN1C2=N[C@](C)(C(=O)O)[C@H](O)[C@]1(C)O,C=CCn1cnc2c1N=CN1C2=N[C@](C)(C(=O)O)[C@H](O)[C@]1(C)O,5.6777807052660805,ChEMBL
C=CCn1cnc2c1N=CN1C2=[NH+][C@](C)(C(=O)[O-])[C@@H](O)[C@@]1(C)O,"C[C@@]1(O)[C@H](O)[C@](C)([NH+]=C2N1C=Nc1c2ncn1CC=C)C([O-])=O |r,c:7,11|",5.1249387366083,BindingDB
C=CCn1cnc2c1N=CN1C2=[NH+][C@](C)(C(=O)[O-])[C@H](O)[C@]1(C)O,"C[C@]1(O)[C@@H](O)[C@](C)([NH+]=C2N1C=Nc1c2ncn1CC=C)C([O-])=O |r,c:7,11|",5.6777807052660805,BindingDB
C=CCn1nc(C(=O)NCc2ccccc2)cc1-c1sc(NC(=O)C(C)(C)C)nc1C,C=CCn1nc(C(=O)NCc2ccccc2)cc1-c1sc(NC(=O)C(C)(C)C)nc1C,5.522878745280337,"BindingDB,ChEMBL,Papyrus"
C=CCn1nc(C(=O)Nc2ccc(OC)cc2)cc1-c1sc(NC(=O)C(C)(C)C)nc1C,C=CCn1nc(C(=O)Nc2ccc(OC)cc2)cc1-c1sc(NC(=O)C(C)(C)C)nc1C,6.031517051446065,"BindingDB,ChEMBL,Papyrus"
C=Cc1ccc(CC2(C)C(=O)Nc3ccc(-c4cccnc4)cc32)cc1,C=Cc1ccc(CC2(C)C(=O)Nc3ccc(-c4cccnc4)cc32)cc1,5.474,Papyrus
CC(=NNc1cc(N2CCOCC2)ncn1)c1cccc([N+](=O)[O-])c1,CC(=NNc1cc(N2CCOCC2)ncn1)c1cccc([N+](=O)[O-])c1,5.376,Papyrus
CC(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)CCl,CC(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)CCl,5.547999999999999,Papyrus
CC(=O)NC1CCN(c2nc(-c3ccccn3)nc3c2CN(Cc2ccc(Cl)cc2)CC3)CC1,CC(=O)NC1CCN(c2nc(-c3ccccn3)nc3c2CN(Cc2ccc(Cl)cc2)CC3)CC1,6.149966742310231,"BindingDB,ChEMBL,Papyrus"
CC(=O)NCCCNc1nc(-c2ccccn2)nc2c1CN(Cc1ccc(F)cc1)CC2,CC(=O)NCCCNc1nc(-c2ccccn2)nc2c1CN(Cc1ccc(F)cc1)CC2,6.699991797446187,"BindingDB,ChEMBL,Papyrus"
CC(=O)NCCNc1nc(-c2ccccn2)nc2c1CN(Cc1ccc(F)cc1)CC2,CC(=O)NCCNc1nc(-c2ccccn2)nc2c1CN(Cc1ccc(F)cc1)CC2,6.55,"BindingDB,ChEMBL,Papyrus"
CC(=O)Nc1ccc(-c2csc(NC(=O)C3(c4ccc5c(c4)OCO5)CC3)n2)cc1,CC(=O)Nc1ccc(-c2csc(NC(=O)C3(c4ccc5c(c4)OCO5)CC3)n2)cc1,5.300769731167458,"BindingDB,ChEMBL"
CC(=O)Nc1ccc(NC(=O)c2nc(S(=O)(=O)Cc3cccc(C)c3)ncc2Cl)cc1,CC(=O)Nc1ccc(NC(=O)c2nc(S(=O)(=O)Cc3cccc(C)c3)ncc2Cl)cc1,5.223,Papyrus
CC(=O)Nc1ccc(Nc2nc(-c3sc(NC(C)=O)nc3C)cs2)cc1,CC(=O)Nc1ccc(Nc2nc(-c3sc(NC(C)=O)nc3C)cs2)cc1,5.772,Papyrus
CC(=O)Nc1ccc([N+](=O)[O-])cc1-c1nc2cccc3c2n(c1=O)CCO3,CC(=O)Nc1ccc([N+](=O)[O-])cc1-c1nc2cccc3c2n(c1=O)CCO3,6.086186147616283,"BindingDB,ChEMBL,Papyrus"
CC(=O)Nc1nc(C)c(-c2csc(Nc3cccc(C(C)=O)c3)n2)s1,CC(=O)Nc1nc(C)c(-c2csc(Nc3cccc(C(C)=O)c3)n2)s1,6.269,Papyrus
CC(=O)OC1(C)CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,CC(=O)OC1(C)CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,6.824,Papyrus
CC(=O)OC1CCC2(C)C(=O)C=CC3=C(C)C(=O)C(C3)C(O)CC2C1(C)C,CC(=O)OC1CCC2(C)C(=O)C=CC3=C(C)C(=O)C(C3)C(O)CC2C1(C)C,5.87,Papyrus
